Source,Target
languagediarya1,chinese4uyghurs
AlkyLeung,nathanlawkc
Heborncomeback3,TorontoFarmEN
HsuPhyo5,nathanlawkc
otickete,taro_taylor
malajisi10,TorontoFarmEN
taro_taylor,
taro_taylor,
Moonfish2020,nathanlawkc
MikaKobacc,nathanlawkc
malajisi10,TorontoFarmEN
Jm8F2XXdYlxuiBP,SpokespersonCHN
yfsheep,chinascio
shibidushi,badiucao
RealRaw_Talk,
jiangwe63564950,TorontoFarmEN
yfsheep,SpokespersonCHN
RyanWGen,TorontoFarmEN
Eye1The3nd,TorontoFarmEN
Eye1The3nd,TorontoFarmCN
Garnsoo,
HYWang49356761,
WangGuanchao,SpokespersonCHN
Saleen52278576,SpokespersonCHN
ulukbirlik,AnneDestiny1
AliHumdani,CGTNOfficial
Crystal142857,TorontoFarmEN
BkshnChg,badiucao
zss_Rosa,
Damayantha14,ChinaEmbSL
iciclemelts,nathanlawkc
TorontoFarmEN,
momentofchina,
DanCDO7,LXMXinjiang4
doubithy,SpokespersonCHN
gnybjv6vXmgUE08,
archer_mister,badiucao
Garnsoo,
1749352480,SpokespersonCHN
xuxuwenjun,spyropic
IcyGreenForest,WangGuanBeijing
owenseehere,SpokespersonCHN
WangZhe11906861,
TIM17196366,yauyaumungpig
lijiatao,Jingjing_Li
CGCHINA_CPT,globaltimesnews
julien201410,tengbiao
xxxcocotang,nathanlawkc
BkshnChg,nathanlawkc
panlune,sammiwhat
zoSbb6XTCPqgh6y,gnybjv6vXmgUE08
jiang47235974,SpokespersonCHN
YiwenSun19,SpokespersonCHN
yauyaumungpig,
gnybjv6vXmgUE08,
a512177,Jingjing_Li
kkfhkhk,nathanlawkc
butterflySerend,nathanlawkc
PetaTorrella,BarrettYouTube
ImmortalSingh2,nathanlawkc
PetaTorrella,BarrettYouTube
Kafka60613837,
LwinMhee,
Outrage_Art,
PetaTorrella,BarrettYouTube
carowithoutline,SpokespersonCHN
ruoli214,
KellyZ08458497,
fishersXiao,SpokespersonCHN
zshing1,chinese4uyghurs
George__Li,
peachso66116382,
heisenberg5061,WangGuanBeijing
lovebesieged,
Sunkiki8,TW_nextmedia
democracy20203,nathanlawkc
redmei69,SilingWu
JingHawtties_Ha,Jingjing_Li
justcurious1313,WangGuanBeijing
Frikadel11,SpokespersonCHN
Johnson15528033,Jingjing_Li
MakpengMiw,aizhongchina
hourableteam1,globaltimesnews
ChairmanFionn,SpokespersonCHN
BNF75,
Danabyss1,Jingjing_Li
Johnson15528033,spyropic
james34603155,Jingjing_Li
Lovecolorfree,Jingjing_Li
christinefor13,Jingjing_Li
pooh_WDF,aizhongchina
sammiwhat,
BusyAhchan,MscAmir1
viriyabot,jooeysiiu
bubublue333,nathanlawkc
HS__Eric,nathanlawkc
Cookies8888,Leslie_Zee7
my_igh,TorontoFarmEN
ManMan37214066,Jingjing_Li
yicaichina,
rachelruanbaby,
Nickel_ore,
O1RgWT0UEUNlMKn,SpokespersonCHN
KyiPhyu17485998,nathanlawkc
LarrypageB,nathanlawkc
wthlccteamo,TW_nextmedia
DFCRb5JpM0nTl9F,SpokespersonCHN
AprilPlmm,Jingjing_Li
james34603155,globaltimesnews
AmIStillAlived,nathanlawkc
BusyAhchan,globaltimesnews
huangguiyu,WangGuanBeijing
Johnson15528033,Jingjing_Li
dBaliyan,
Zank47563599,Jingjing_Li
DavidChen9457,
tracy35062938,nathanlawkc
xiaoya14697539,Jingjing_Li
DelqueVictor,Jingjing_Li
um3w7qj4SiTQSlx,Jingjing_Li
cacalovehk,
hlayamin00,
s2poo6lHqYAgGYn,Jingjing_Li
Buddhism979,BikerChinese
semimaxkr,Jingjing_Li
Kav7LxC8LDH1aEd,la_himalaya
weilinkuang,Jingjing_Li
MarkusShaw15,TorontoFarmEN
XueYuns11,SpokespersonCHN
liCheng04299507,Jingjing_Li
ryokoni,chinese4uyghurs
Ricky28236815,
mikuhaku233,Jingjing_Li
ZongLei20,SpokespersonCHN
KathyKKkLu,SpokespersonCHN
DanCDO7,globaltimesnews
KChan_fourth,TorontoFarmEN
LeiShur82630211,SpokespersonCHN
DanCDO7,MscAmir1
commie__mami,Jingjing_Li
DendrikL,Jingjing_Li
FinalBattle13,TorontoFarmCN
dongchangxvyaon,LondonHanfuCN
ZhangChef,Jingjing_Li
QiXigs5,SpokespersonCHN
fat_duck_meat,SpokespersonCHN
Mal_Wang,Jingjing_Li
TianXia1357Z,Jingjing_Li
nongmmg,SpokespersonCHN
5M6AnwzxOVB8mE9,Jingjing_Li
RodericDay,Jingjing_Li
SongHuo23695774,SpokespersonCHN
Nivi992011,Jingjing_Li
HGuoz8,SpokespersonCHN
Tim_Formosa,SpokespersonCHN
zhongguo5000,Jingjing_Li
YinLi38759741,SpokespersonCHN
LawTce,nathanlawkc
Ricky28236815,Jingjing_Li
HninYee74925747,
Aner57472565,Jingjing_Li
davidwo62729045,Jingjing_Li
mythmakerart,Jingjing_Li
hidekihokuto,WangGuanBeijing
UGotAutism,Jingjing_Li
libertydemocra1,nathanlawkc
hoffmenjack,globaltimesnews
JohnF_Ketamine,Jingjing_Li
ipfreak1,globaltimesnews
Aaaangl,
DaoxingZ,Jingjing_Li
merylee35664072,jenniferatntd
smithoons,Jingjing_Li
ZhangChef,Jingjing_Li
Yanguihubin,Jingjing_Li
FunPop7,Jingjing_Li
X__CP9,China2ASEAN
Lie_Wang0226,spyropic
fantine127,Jingjing_Li
kamotetsu,nathanlawkc
zlj517,Jingjing_Li
zuoduoduo,SpokespersonCHN
JQH1002,
sweeting_sour,senjatanuklir
lsabell17968133,WangGuanBeijing
wuxiangg,spyropic
shadowlonofof,
KateHuentelman,RocafortFred
TorontoFarmEN,
joshuamills044,globaltimesnews
freedomisgood1,nathanlawkc
dinggangchina,Jingjing_Li
_mkd0,badiucao
8_kotono,nathanlawkc
joy_lighting,spyropic
yinglin79,spyropic
milktea782,chinese4uyghurs
leftboomer,globaltimesnews
cooland413,
avispadaniel,badiucao
mysuperbusylife,globaltimesnews
Hong_Kong____,
sand_jack,Lazyyyyyyy
C79222222,nathanlawkc
myatbhone7633,nathanlawkc
yu_ni987,CGTNOfficial
SCoup2021,nathanlawkc
yourettiwtme,BarrettYouTube
femqqqb,chinese4uyghurs
MyanmarCitizenM,nathanlawkc
Aling88188,la_himalaya
Blade49340067,nathanlawkc
Nickel_ore,
99wz77GreYOmCnt,SpokespersonCHN
xf_2007,SpokespersonCHN
HongConnn,nathanlawkc
puteripil,Jingjing_Li
hirocat90,nathanlawkc
LAUJAN_,nathanlawkc
chaichaigod,WangGuanBeijing
peruanomarxista,globaltimesnews
CurtisSChin,
puteripil,senjatanuklir
sillyshen,tengbiao
joanne65851011,nathanlawkc
Zhou26028989,
ConcernedHk,MscAmir1
Jeeghin,HollyM80678769
SlamDun47313735,
la_himalaya,
joeyang128,jenniferatntd
yu_ni987,SpokespersonCHN
telsaiori,jooeysiiu
347917270,SpokespersonCHN
uokeely,SpokespersonCHN
zhenbka7,Alfred_Uyghur
mumenraidainhk,nathanlawkc
9Tsuialex,badiucao
jin_yang,TorontoFarmCN
TedDaddy2,nathanlawkc
FRhangzhou,globaltimesnews
IcE21OctRY64_aS,nathanlawkc
Elvinayawllie,
jin_yang,TorontoFarmEN
WDra6ZQZ1RNXXfc,SpokespersonCHN
melody4913,CGTNOfficial
bili11626114,SpokespersonCHN
tom96548355,lunareadingnote
Kebru13,
monpetitaetae,lheais
C28jrkOco9MmkNH,SpokespersonCHN
WangZhe11906861,China2ASEAN
VIT13878885,SpokespersonCHN
loeynesarang,badiucao
99wz77GreYOmCnt,
RocafortFred,
zhongjieHuang2,SpokespersonCHN
lch1540,freecalcium
shenangelina1,SpokespersonCHN
shenangelina1,
liberry14,
yamunaoverseas,ChinaEmbSL
FastFastBiuBiu4,globaltimesnews
binyu91,Q_Niu
IcyGreenForest,globaltimesnews
KingLaai0927,
LoveKing112116,aizhongchina
mxp44440,Jingjing_Li
qamadhieta,
wade75321489,TorontoFarmCN
WaqarMustafavi,CGTNOfficial
nic_joys,
MscAmir1,
zqhlongwuyu,globaltimesnews
dksksQAQ,spyropic
zhongjieHuang2,WangGuanBeijing
my_igh,TorontoFarmEN
halolao,globaltimesnews
jxstfriendsy,SpokespersonCHN
wuxiangg,
lch1540,jooeysiiu
Joshua39787246,globaltimesnews
Monkey_King666,
whiteSouffle,
FutureBuckNasty,Jingjing_Li
girlspotify,globaltimesnews
Preety_qing,
shuo9ekfh,SpokespersonCHN
EvieChoi619,lunareadingnote
hongkonger1841,nathanlawkc
Joycechen90,
realBruceK,nathanlawkc
Khunnice2,
LiuYuhan060615,SpokespersonCHN
BarryWo31638350,ngonggau
focalpointpk,globaltimesnews
FactsTellOrg,
fff3313750220,TorontoFarmEN
DimalenMursid,globaltimesnews
selinaL03543179,SpokespersonCHN
zyungam,
Noir_Fair,jooeysiiu
Iilovehongkong2,ngonggau
EvieChoi619,Jingjing_Li
ericrechsteiner,badiucao
Lovecolorfree,globaltimesnews
Novanaryoo,senjatanuklir
foolishduck3,
yamunaoverseas,globaltimesnews
CianGaia,globaltimesnews
johandemeuleme1,globaltimesnews
Oneonesix7,
albrandosh,
e5555d5555,nathanlawkc
globaltimesnews,
Eve_USA,tengbiao
James_Thorburn,nathanlawkc
vschun1,nathanlawkc
NisaraOuch,lheais
samuine11,
winter0109,badiucao
QuiteGuy7,BikerChinese
stting95,SpokespersonCHN
AsiaSpotlight,badiucao
nashus,CGTNOfficial
Jothehkgirl,nathanlawkc
NXXFy8xORoNzgB5,nathanlawkc
LolyQiao,SpokespersonCHN
whiteSouffle,
jiangwe63564950,TorontoFarmCN
Oyx7ZHbBrDUg8Dq,HollyM80678769
fanqieniurou,TorontoFarmEN
juliancha12,
jerrywongbirdy,chinese4uyghurs
TNOjw,
curtisrobin,CGTNOfficial
xiangduan,
vivienc41732492,OnceUpo26773053
TTLNDYD,SpokespersonCHN
Vivian63370672,WangGuanBeijing
chicken_friday,nathanlawkc
PAJHON7,CGTNOfficial
KChan_fourth,TorontoFarmEN
closertochina,
BAIBAIER1,SpokespersonCHN
jingyun_wang,XHNews
xuesong19439586,SpokespersonCHN
AFairyStory,tengbiao
mohanthapa123,globaltimesnews
ktshkca,chinese4uyghurs
lovelay51798465,SpokespersonCHN
Jeana_Luft,CGTNOfficial
mod_x,CGTNOfficial
xkjxjdjd2,nathanlawkc
kiki97972,PDChina
Oyx7ZHbBrDUg8Dq,LondonHanfuCN
infiniteBTS93,SpokespersonCHN
dez1o1,
Yati_014,nathanlawkc
melissabak3,CGTNOfficial
Pejal_Hashim,badiucao
devilsclaw3,
William33974536,
Tilly831_,nathanlawkc
ChikwongMiu,SpokespersonCHN
MarkMalachowski,CGTNOfficial
ryka_t,lheais
qamadhieta,
DRechts,
Tom00561419,SpokespersonCHN
james34603155,CGTNOfficial
isllainey,SpokespersonCHN
Y64191332,
aiwozhonghua21,SpokespersonCHN
Abs5164,TorontoFarmEN
ChasonDailey,WilliamYang120
apc010208,CGTNOfficial
XjReport,
CGTNOfficial,
LaurenY48364351,SpokespersonCHN
YoseSpark,SpokespersonCHN
TorontoFarmEN,
solololooo,badiucao
Cindyho0614,SpokespersonCHN
BRASIL_ACABOU,globaltimesnews
xiiiiii16317586,
Harika95694724,
singnb,TorontoFarmCN
missioncritica,Q_Niu
leetseyin,WilliamYang120
YukiLi53547718,SpokespersonCHN
reazonozaer,DarkoftheWeb
mukmook,aizhongchina
ronniechoichoi,OnceUpo26773053
Happylulu08,aizhongchina
RfsiPXhWj2Tkq4n,nathanlawkc
HKer61891166,jooeysiiu
freeqli,tengbiao
yuanwenhao1,SpokespersonCHN
HRuD5br0essYOFB,WangGuanBeijing
Rambo59211915,BarrettYouTube
sino_observer,tengbiao
kjdxings,
CheungCommon,nathanlawkc
Q_Niu,
Alan28825054,XHNews
ChuYong6,SpokespersonCHN
cnpy127,
galaxy8601,
tdbboysles,nathanlawkc
ChrisLe62694230,Jingjing_Li
DarkoftheWeb,
XuCais4,xinjiangchannel
sino_observer,tengbiao
JohnC322,nathanlawkc
ErenYea95446295,monkmonkii
cyn106932017,nathanlawkc
malasongfeng,TorontoFarmCN
zhangtruth1,nathanlawkc
ErenYea95446295,jooeysiiu
uSuA0e1zvgE1V8U,SpokespersonCHN
pacaryoona,senjatanuklir
NothingSB4,badiucao
JialiOnlyyouz,SpokespersonCHN
cherry123pjms,nathanlawkc
tiwtter2345,TorontoFarmCN
kittiYa51305805,lheais
spsot,badiucao
TheJiaoCollectv,1842_1997
Nick83672739,
songxiaoxi2,SpokespersonCHN
BikerChinese,
zhengwei75,
Ikaroso2,HollyM80678769
Zephyr18624664,SpokespersonCHN
justin00800,TorontoFarmCN
DannyCh83145536,TorontoFarmCN
Hong_Kong____,Hong_Kong____
Charles78020456,JessicaZ1018
mana_kkw,aizhongchina
Hong_Kong____,
Sophia92016364,AbubakaarCh
liberatehkerrrs,nathanlawkc
Peijun19966455,tengbiao
hahaha73822067,SpokespersonCHN
Ruby33564432,PeoplesDailyapp
dhdysdys812,lheais
MKpopWebsite,
yolikw,SpokespersonCHN
lucyzwaryf,SpokespersonCHN
somaaewong,aizhongchina
alvinlibra2018,nathanlawkc
Leandrojuniors8,theserenadong
VinieeN,SpokespersonCHN
RitoMisantropo,Jingjing_Li
somaaewong,aizhongchina
thalassaxipe,senjatanuklir
FloofBlanket,lheais
SmurfGG,WilliamYang120
nite_wolfus,CGTNOfficial
iCadence_,jooeysiiu
chadmath,China2ASEAN
VinieeN,spyropic
C_KBigEgg,
793224070Lee,SpokespersonCHN
HHHSunnah,Alfred_Uyghur
Zyhein,nathanlawkc
El_ReMap,tengbiao
Yand13281538,SpokespersonCHN
OngPilly,CGTNOfficial
1842_1997,
welhena800,ChinaEmbSL
crying_HKer,tengbiao
Zzzzz68898715,
AndyLiu52035003,SpokespersonCHN
macdex3,DeepADiver2
TOGrlbB9LrzEBMi,HollyM80678769
Zulhelmil1,badiucao
hoyin19944066,jooeysiiu
Mike71908739,nathanlawkc
KariBak71072709,SpokespersonCHN
feehonkon,nathanlawkc
Yiming_Botten,tengbiao
YoloOliver1,XHNews
mrowand,tengbiao
Jancums,chinese4uyghurs
tengbiao,
transfo21771738,Alfred_Uyghur
frannieOh,tengbiao
Lushanzilong,TorontoFarmCN
tgR_tsuru,badiucao
Leo08065909,XHNews
FamilyOf_D,badiucao
yennikwok,WilliamYang120
kasugano_kaze_,tengbiao
comradeJohnClay,Mango_Press_
YD68DKznbkaV2Us,TorontoFarmCN
joshamitin,
DoubleSsine,aizhongchina
TohtiChambash,Alfred_Uyghur
badiucao,tengbiao
TOGrlbB9LrzEBMi,LondonHanfuCN
worsethanccp,WangGuanBeijing
MingCha90629405,Jingjing_Li
tiraELF,lheais
wenzi3007,SpokespersonCHN
ManChungMichYu1,nathanlawkc
tengbiao,
uPrw5rZcmmHyr9f,SpokespersonCHN
Frankee7777,
cclan1234,OnceUpo26773053
WorldCNA,SpokespersonCHN
FilipinoMestiza,AnneDestiny1
LetsRoc137,badiucao
2L05Z9LBVi0R92v,
my_igh,TorontoFarmCN
gogo_fng,SpokespersonCHN
iwantliberty852,jooeysiiu
orng_thina,Jingjing_Li
jerrywongbirdy,nathanlawkc
People25845566,
superchemist13,
aiiyyangg,senjatanuklir
Emily83324330,nathanlawkc
MGsweetycandy,SpokespersonCHN
crazyuniverse15,badiucao
zqhlongwuyu,WangGuanBeijing
TorontoFarmCN,
skyearthstories,nathanlawkc
Outrage_Art,badiucao
bighireio,WilliamYang120
world_news_eng,XHNews
kennycoffee,badiucao
Lancrunistuning,CGTNOfficial
WilliamYang120,
AnnaLuvPopo,badiucao
bebonmarketing,SpokespersonCHN
nhohn2011,China2ASEAN
bigblackhole7,aizhongchina
DIduEWCzzEX6JEw,aBabyGirlQian
XHNews,
aBabyGirlQian,
ty60275262,nathanlawkc
lwlphys,chinese4uyghurs
LUpkyTwv1MYhtVb,
Aahmattt,badiucao
DanShreffler,badiucao
suehantiewah,Jingjing_Li
AfricaClear,nathanlawkc
sunbleachedsky,aizhongchina
superchemist13,
fuckccp19,jooeysiiu
TanKayInn1,WangGuanBeijing
ngdasokau,jooeysiiu
miniminminimo,aizhongchina
fuxiang_,China2ASEAN
ngdasokau,nathanlawkc
Okitakagura0708,lomicchi
acyyhk,Jingjing_Li
acyyhk,Jingjing_Li
nerdngeeky,Jingjing_Li
kei81626,SpokespersonCHN
epromor,aizhongchina
realKong13,
ajphelo,jooeysiiu
MingCha90629405,jooeysiiu
hocoleman1,jooeysiiu
fafawang4,ChinaDaily
SamStewartAU,China2ASEAN
Grace64940647,SpokespersonCHN
zss_Rosa,SpokespersonCHN
1759880204Tjh,SpokespersonCHN
Janec44ever,
BusyAhchan,AnnaGE_
Okitakagura0708,VoiceofPD
eliora711,nathanlawkc
wwibul,China2ASEAN
VoiceofPD,
zshing1,nathanlawkc
KMarie1321,nathanlawkc
BikerChinese,BikerChinese
ebcfragrance,China2ASEAN
BikerChinese,
LueRuiChao,badiucao
mutalabala,China2ASEAN
brainscience03,badiucao
GreenPartyofNJ,badiucao
pengfeng_lu,TW_nextmedia
tsai_mitchell,SpokespersonCHN
anthraxxxx,badiucao
rudolph87471573,WangGuanBeijing
China2ASEAN,
Hker_Remember,badiucao
yaya00281,chinese4uyghurs
Sarah54867718,Jingjing_Li
SChenHayes,badiucao
247firecracker,soshk_hker
ChanCha62478037,soshk_hker
playngpleng,aizhongchina
vwoWeitT6bIqs9c,SpokespersonCHN
9Gf88JKmqjKHLgk,Jingjing_Li
williamsantosg3,
KonohaEmi,WangGuanBeijing
popp30000,
JoChou18,dayana_dy
memilihviolance,Jingjing_Li
9Gf88JKmqjKHLgk,SpokespersonCHN
Wendy54311691,
jack35767730,SpokespersonCHN
huntercat_ning,aizhongchina
NancyHe36584614,
terpsichore_los,badiucao
memilihviolance,spyropic
Alara100,SpokespersonCHN
FxhAaCJI6RUNDzl,libijian2
Hanshichan1,
AhShuk2,
kongbill2,coicoixx
SteelAdolf,
lomicchi,
wuren61214380,SpokespersonCHN
weilin_pan,SpokespersonCHN
HuangZhilai,BarrettYouTube
jojojoanneriver,nathanlawkc
pz7EOolaRN4iY7H,
AhShuk2,
xianming_wang,WangGuanBeijing
akankshaswarups,
fu_ethel,nathanlawkc
DELAYNO_MORE,
prakai_bu,aizhongchina
AhShuk2,
herbalcandy024,jooeysiiu
Veronic42679841,SpokespersonCHN
liguotong,SpokespersonCHN
Hker_Remember,nathanlawkc
memilihviolance,senjatanuklir
memilihviolance,senjatanuklir
DeepADiver2,
chenlizi5494,
Huaneva1,SpokespersonCHN
waian1287,SpokespersonCHN
AlanLau19218588,nathanlawkc
fuckumiffy,nathanlawkc
FizeSheldon,nathanlawkc
dreamstar0302,badiucao
MLN_5dn1l,
duck_dafne,badiucao
tianhong_zheng,
twenkizz,aizhongchina
Filmize_nekar,aizhongchina
leona_super,SpokespersonCHN
MatWayne4,nathanlawkc
LXMXinjiang4,WangGuanBeijing
GeorgeDu19,SpokespersonCHN
Khodija35477746,
Aveddq4zJFJoLem,
_Gao_Xiang_,WangGuanBeijing
happy27803841,WangGuanBeijing
badiucao,badiucao
persimmonpear_,aizhongchina
HanxinCao,SpokespersonCHN
pip1985,badiucao
YetteSu,badiucao
EBlacksail,nathanlawkc
finniishere,badiucao
ArcherMail,badiucao
AUfoab,SpokespersonCHN
ruscioussin,aizhongchina
hangyanroad,nathanlawkc
HONGKONGISNOTC1,
exwx11_ax,badiucao
MLN_5dn1l,
wanwiya,aizhongchina
_Gao_Xiang_,SpokespersonCHN
johnnyh92539958,
HTakshing,jenniferatntd
ringonana1987,SpokespersonCHN
firstzhan,lheais
KeepTaiwanFree_,badiucao
Lexils01227,badiucao
CakeForPeace,
bailikekai,aizhongchina
truth_ch,SpokespersonCHN
hkshinkansen,nathanlawkc
achmadhabiib,senjatanuklir
suiyuanerqu,TW_nextmedia
yang_shiming,
talkyren,badiucao
chimmyxgrace,lheais
AidanStelling,badiucao
transfo00063431,Alfred_Uyghur
Lunn13853691,badiucao
dawrongguey,Jingjing_Li
DK40739909,TW_nextmedia
gtstyas,senjatanuklir
MichaelPolakLaw,badiucao
tbigeo,BarrettYouTube
AhShuk2,nathanlawkc
AhShuk2,
desireelai123,nathanlawkc
Ethel__Smith,CGTNOfficial
ArianBalbin,Thaisyin
Ethel__Smith,CGTNOfficial
CakeForPeace,
shellingbourne,
darklin53474392,SpokespersonCHN
GuangsiZheng,SpokespersonCHN
GoldenR71017954,badiucao
Ethel__Smith,CGTNOfficial
jaifoobody,aizhongchina
YouU2002,nathanlawkc
Danny_b1030,SpokespersonCHN
AlanTam777689,nathanlawkc
YC16992227,CameraTibet
ImLostInLiberty,
YYY11531303,ChinaDaily
bluesea99193658,CGTNOfficial
TinMaungZaw3,badiucao
bluesea99193658,PDChina
AKIRA_gxn,SpokespersonCHN
TaiReiTroy,nathanlawkc
smaya142,Feli1Ann
WSinghill,libijian2
khunpaew_,badiucao
FRNDhvBGZMt10HX,LondonHanfuCN
Thetmar,nathanlawkc
kaon04ok_alvin,nathanlawkc
arale31031,nathanlawkc
lomicchi,
TheJiaoCollectv,badiucao
LoveFlying10,aizhongchina
Chen1036108861,
bledwine,badiucao
9ydwo,nathanlawkc
YWtKIladGBo7pXZ,SeaGyp
WeiDanLeung,nathanlawkc
Hibinotsubu2018,badiucao
machangminfy,SpokespersonCHN
wendyinmyheart,nathanlawkc
hraulgg,badiucao
KKKOALA_MOMO,SpokespersonCHN
chinabookschina,SpokespersonCHN
eliora711,badiucao
evMhrgQZ2ByMwhD,SpokespersonCHN
Nemesis_Alert,monkmonkii
DrewPavlou,badiucao
Jonah_writer,
S15032022,HollyM80678769
Lamine68395326,Alfred_Uyghur
MasonPiii,YawenXu17
S15032022,SBBZBZSB
S15032022,LondonHanfuCN
Perseus852,badiucao
Kianlqm,SpokespersonCHN
foolishduck3,
zusi324000,
Julia34133619,badiucao
Jce49166744,badiucao
badiucao,
baicai_kang,spyropic
S15032022,SpokespersonCHN
jiang_silvia,SpokespersonCHN
sa18qy,SpokespersonCHN
hechuan37053227,SpokespersonCHN
BullshitofWuMen,jenniferatntd
BusyAhchan,BernardToHK
ichig0tchi,Jingjing_Li
ummm_na,aizhongchina
03CYgrixjwgPBDH,WangGuanBeijing
Wingo_721_831,nathanlawkc
jtao98,
S15032022,Jingjing_Li
Gusuland_,aizhongchina
Langley02_,
Julia34133619,nathanlawkc
fuffys,nathanlawkc
yixingwrld,
underbridge2003,WilliamYang120
Flambart,HKGTranslator
afran120,Alfred_Uyghur
Harry62146890,Jingjing_Li
zhuhaha1984,WangGuanBeijing
lomlia,aizhongchina
walt3587,WangGuanBeijing
Yeoleum07627796,jooeysiiu
hkg_e,chinese4uyghurs
richardericspe1,EconoArtifIntel
Dafei00291780,WangGuanBeijing
jalvapic,
ngonggau,WangGuanBeijing
lomicchi,
R1CsbIFITNcWuUx,jooeysiiu
yangyunlin,
likes_tony,SpokespersonCHN
oddnqVeiAbJ1voR,SpokespersonCHN
zjl1993,SpokespersonCHN
RawBlue1992,Alfred_Uyghur
huaiwenxuan8964,chinese4uyghurs
ngonggau,
ou08153352,LondonHanfuCN
comradeJohnClay,Jingjing_Li
woohoohooooo,nathanlawkc
pippy1987,monkmonkii
zero_jungle,WangGuanBeijing
PacRimAllies,OnceUpo26773053
m81792127,jooeysiiu
c0Veii7UUuieb9p,Jingjing_Li
PolarisAurora1,nathanlawkc
albrandosh,
luvhighways,spyropic
neo_tymai,aizhongchina
Joey_Gaga4ever,nathanlawkc
mythmakerart,Jingjing_Li
mintcho95795318,nathanlawkc
pippy1987,OnceUpo26773053
ChorPorIsRunnin,aizhongchina
GGL0928,
steven950824,SpokespersonCHN
mkH0ir7YhyBdTtl,SpokespersonCHN
VicentYip,LondonHanfuCN
yoyo0329,nathanlawkc
LondonHanfuCN,
9Ys1Bed52oCytCo,ChinaDaily
AnnaGE_,
AliUighur,nathanlawkc
OnceUpo26773053,
winwin251777372,TorontoFarmEN
ronniechoichoi,monkmonkii
newmanita19,aizhongchina
winwin251777372,TorontoFarmEN
DanCDO7,EconoArtifIntel
funfun96904935,nathanlawkc
BusyAhchan,nathanlawkc
Grayellow2,chinese4uyghurs
MasterK20826595,nathanlawkc
bobthewomble,nathanlawkc
dkfkskdl,senjatanuklir
dilly,chinese4uyghurs
RealYunyun2020,chinese4uyghurs
ccy_hk,nathanlawkc
yussieya,SpokespersonCHN
Rao_Siri,dayana_dy
KOAYBEECHENG,ChinaDaily
yiquxiaoyi,chinese4uyghurs
FreeT001,jooeysiiu
qiaohuanxin,
hologramsticker,SpokespersonCHN
V0e2qSbBkv5UlvL,SpokespersonCHN
FreeT001,nathanlawkc
hologramsticker,BarrettYouTube
2ZRUMmant1PhF4p,SpokespersonCHN
MengQingsheng,WangGuanBeijing
summivox,chinese4uyghurs
wsRyoko,AbubakaarCh
CharW212,ChinaDaily
colorlessplace,jooeysiiu
CAIYuushinn,SpokespersonCHN
deep_kwan,jooeysiiu
AnnaGE_,
GetReal19603510,Jingjing_Li
Eva__YYang,nathanlawkc
JeffreyJMassie,CGTNOfficial
ZionistColonist,Alfred_Uyghur
RickySone,Jingjing_Li
L4UR_UK,nathanlawkc
Bonbon_Leng,libijian2
JIJIJIZAZA,SpokespersonCHN
gentel_21,chispanorama
yanderecon1,nathanlawkc
ScrewTfrackingR,
yukongyi0401,SpokespersonCHN
Wenmin28761976,TorontoFarmEN
Wenmin28761976,TorontoFarmEN
missioncritica,CGTNOfficial
MiaoYiLai,
giraffe54049936,nathanlawkc
May_Mi_H,SpokespersonCHN
lxngacn,Jingjing_Li
niningasih,WilliamYang120
tom07797806,CGTNOfficial
desai_ritsukou,nathanlawkc
kristal66801094,SpokespersonCHN
niningasih,WilliamYang120
Viriato_77,xinjiangchannel
DeeganKevin,
lianganqiang,SpokespersonCHN
thisvulnerable1,lheais
maharetweet,senjatanuklir
soshk_hker,
svqcity,Jingjing_Li
Yuetshan,nathanlawkc
P_September2009,aizhongchina
jiang_mana,SpokespersonCHN
kakanamanian,nathanlawkc
litslover,lheais
michaelhuang02,nathanlawkc
cutry6,WangGuanBeijing
FREEDOMFR0MFEAR,nathanlawkc
4ZrDcMhAwPgyYd3,SpokespersonCHN
Thaisyin,
danielle_fooo,spyropic
DanielW75036432,jooeysiiu
pop_poo3,jooeysiiu
houyong12,xinjiangchannel
d68xIhpDgXhDPWK,SpokespersonCHN
BRASIL_ACABOU,
WaiTai3,nathanlawkc
DeepADiver2,
pip1985,nathanlawkc
JoyceTong13,SpokespersonCHN
Leon__Fan,
MWcommie,MscAmir1
alex_p_is,nathanlawkc
zhangjiapang,SpokespersonCHN
aly_hell,nathanlawkc
milksuga19,senjatanuklir
NicolasOng,lunareadingnote
TheDrBlanc,MscAmir1
monkmonkii,nathanlawkc
jennifer324961,chinese4uyghurs
yyc0314,SpokespersonCHN
Vyor_1,nathanlawkc
narcissus_hk,jooeysiiu
Vincent69391038,jooeysiiu
YShuisang,jenniferatntd
wojiaosiya,XjReport
NicolasOng,Jingjing_Li
winnie44029127,nathanlawkc
NicolasOng,SpokespersonCHN
NicolasOng,Jingjing_Li
Nishang_Li,SpokespersonCHN
Nishang_Li,xinjiangchannel
Marswong15,SpokespersonCHN
weilinkuang,Jingjing_Li
Jiwen_Tan,SpokespersonCHN
peachiprint,chinese4uyghurs
Zerta_D,chinese4uyghurs
yygall,nathanlawkc
haysosteve,CGTNOfficial
SpacedLad,
MeiYanyue_2000,SpokespersonCHN
mumucute33,SpokespersonCHN
German_1889,Jingjing_Li
villedelily,aizhongchina
NicolasOng,BarrettYouTube
NicolasOng,BarrettYouTube
turonhouse,CGTNOfficial
